Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
EwwHSMba,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,03/06/2023,11:30,Relegation,Lazio W,Pomigliano W,0,2,[],"[32, 90]",Betano.br,2.95,2.2,3.05,Betano.br,2.42,3.45,2.52,,0.0,0.0,Betano.br,2.42,1.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.6,2.05,,0.0,0.0,,0.0,0.0,Betano.br,2.42,3.45,Betano.br,1.5,1.26,1.52,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.55,0.45,0.74,0.71,,,,,,,,,14.0,16.0,4.0,7.0,6.0,6.0,4.0,3.0,,,,,,,,,,,0.0,4.0,,,,,21.0,18.0,4.0,1.0,,,0.0,7.0,5.0,4.0,,,,,,,,,,,,,,,,,,,0.46,0.54,6.0,8.0,0.0,4.0,4.0,3.0,,,0.0,3.0,,,11.0,10.0,0.0,2.0,3.0,0.0,,,,,,,0.64,0.36,8.0,8.0,4.0,3.0,2.0,3.0,,,0.0,1.0,4.0,1.0,,,10.0,8.0,0.0,5.0,2.0,4.0
hUyLRtE5,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,08/06/2023,11:30,Relegation,Pomigliano W,Lazio W,0,1,[],[43],Betano.br,2.35,2.3,3.85,Betfair,1.87,3.3,3.3,,0.0,0.0,Betano.br,2.37,1.52,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.6,2.2,Betfair,2.6,1.44,Betfair,4.8,1.14,Betfair,1.53,2.3,Betano.br,1.25,1.23,1.93,Betfair,12.0,Betfair,12.0,Betfair,17.0,Betfair,36.0,Betfair,8.5,Betfair,6.5,Betfair,10.0,Betfair,21.0,Betfair,9.5,Betfair,7.5,Betfair,10.0,Betfair,23.0,Betfair,15.0,Betfair,12.0,Betfair,17.0,Betfair,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.49,0.51,0.65,0.68,,,,,,,,,21.0,6.0,3.0,1.0,13.0,1.0,5.0,4.0,,,,,,,,,,,8.0,0.0,,,,,9.0,14.0,0.0,2.0,,,3.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.53,0.47,11.0,4.0,3.0,0.0,3.0,1.0,,,4.0,0.0,0.0,1.0,4.0,9.0,1.0,0.0,0.0,3.0,,,,,,,0.45,0.55,10.0,2.0,0.0,1.0,10.0,0.0,,,4.0,0.0,0.0,1.0,,,5.0,5.0,2.0,0.0,1.0,0.0
6wTJ2cC2,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,27/05/2023,09:30,Championship Group,Inter W,AC Milan W,0,1,[],[75],Betano.br,2.57,2.42,3.15,Betfair,2.05,3.6,2.88,,0.0,0.0,Betano.br,2.12,1.65,,0.0,0.0,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.36,2.88,Betano.br,1.38,1.22,1.7,Betfair,15.0,Betfair,13.0,Betfair,15.0,Betfair,29.0,Betfair,11.0,Betfair,6.5,Betfair,9.0,Betfair,15.0,Betfair,13.0,Betfair,8.0,Betfair,9.0,Betfair,17.0,Betfair,19.0,Betfair,12.0,Betfair,13.0,Betfair,23.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.66,0.34,0.82,0.68,,,,,,,,,19.0,15.0,6.0,4.0,9.0,5.0,4.0,6.0,,,,,,,,,,,6.0,4.0,,,,,11.0,16.0,1.0,1.0,,,1.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,0.62,0.38,6.0,9.0,2.0,2.0,3.0,3.0,,,2.0,2.0,,,5.0,5.0,0.0,0.0,2.0,2.0,,,,,,,0.7,0.3,13.0,6.0,4.0,2.0,6.0,2.0,,,4.0,2.0,1.0,1.0,,,6.0,11.0,1.0,1.0,1.0,4.0
pURN1HR8,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,27/05/2023,09:30,Championship Group,Juventus W,AS Roma W,5,2,"[16, 22, 40, 54, 79]","[70, 75]",Betano.br,2.5,2.4,3.3,Betfair,2.15,3.5,2.7,,0.0,0.0,Betano.br,2.1,1.65,,0.0,0.0,Betfair,1.01,17.0,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,1.36,2.88,Betano.br,1.37,1.23,1.75,Betfair,15.0,Betfair,13.0,Betfair,15.0,Betfair,29.0,Betfair,12.0,Betfair,7.0,Betfair,9.5,Betfair,15.0,Betfair,13.0,Betfair,8.0,Betfair,9.0,Betfair,15.0,Betfair,19.0,Betfair,12.0,Betfair,13.0,Betfair,21.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.49,0.51,0.86,0.83,,,,,,,,,17.0,15.0,9.0,4.0,6.0,7.0,2.0,4.0,,,,,,,,,,,5.0,8.0,,,,,11.0,9.0,,,,,1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.47,0.53,10.0,4.0,5.0,0.0,4.0,3.0,,,4.0,3.0,,,7.0,6.0,1.0,0.0,0.0,2.0,,,,,,,0.51,0.49,7.0,11.0,4.0,4.0,2.0,4.0,,,1.0,5.0,,,,,4.0,3.0,0.0,0.0,2.0,2.0
Q7qE8Pvg,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,27/05/2023,07:30,Relegation Group,Pomigliano W,Sampdoria W,2,4,"[71, 85]","[33, 40, 43, 90]",Betano.br,3.1,2.15,3.0,Betfair,2.4,3.3,2.5,,0.0,0.0,Betano.br,2.65,1.42,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.25,Betano.br,1.53,1.27,1.5,Betfair,11.0,Betfair,9.0,Betfair,12.0,Betfair,23.0,Betfair,8.5,Betfair,6.0,Betfair,8.5,Betfair,15.0,Betfair,12.0,Betfair,8.5,Betfair,10.0,Betfair,21.0,Betfair,21.0,Betfair,15.0,Betfair,21.0,Betfair,41.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.58,0.42,0.64,0.5,,,,,,,,,17.0,20.0,9.0,8.0,6.0,7.0,2.0,5.0,,,,,,,,,,,2.0,8.0,,,,,13.0,21.0,1.0,1.0,,,3.0,0.0,4.0,7.0,,,,,,,,,,,,,,,,,,,0.57,0.43,3.0,14.0,2.0,7.0,1.0,5.0,,,0.0,4.0,1.0,0.0,10.0,7.0,1.0,0.0,4.0,2.0,,,,,,,0.59,0.41,14.0,6.0,7.0,1.0,5.0,2.0,,,2.0,4.0,0.0,1.0,,,3.0,14.0,2.0,0.0,0.0,5.0
INZyvEZ1,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,21/05/2023,09:30,Championship Group,Fiorentina W,Juventus W,4,2,"[36, 47, 57, 84]","[42, 45]",Betano.br,5.5,2.65,1.78,Betfair,7.0,5.0,1.25,,0.0,0.0,Betano.br,2.05,1.7,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,2.0,1.73,Betfair,3.3,1.29,Betfair,1.57,2.2,Betano.br,3.0,1.14,1.11,Betfair,21.0,Betfair,8.5,Betfair,7.0,Betfair,9.0,Betfair,23.0,Betfair,9.5,Betfair,7.0,Betfair,8.5,Betfair,41.0,Betfair,19.0,Betfair,13.0,Betfair,15.0,Betfair,67.0,Betfair,51.0,Betfair,41.0,Betfair,41.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.4,0.6,0.76,0.85,,,,,,,,,15.0,10.0,7.0,4.0,6.0,3.0,2.0,3.0,,,,,,,,,,,3.0,6.0,,,,,6.0,10.0,1.0,1.0,,,4.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.38,0.62,5.0,9.0,2.0,4.0,2.0,2.0,,,3.0,2.0,,,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,,0.42,0.58,10.0,1.0,5.0,0.0,4.0,1.0,,,0.0,4.0,1.0,1.0,,,2.0,8.0,2.0,1.0,0.0,2.0
vXzYvfKe,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,20/05/2023,09:30,Championship Group,AS Roma W,Inter W,2,1,"[73, 90]",[63],Betano.br,1.8,2.75,5.0,Betfair,1.29,5.0,6.5,,0.0,0.0,Betano.br,1.88,1.83,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.3,3.2,Betfair,1.85,1.85,Betfair,3.0,1.33,Betfair,1.5,2.4,Betano.br,1.12,1.15,2.87,Betfair,23.0,Betfair,26.0,Betfair,46.0,Betfair,67.0,Betfair,9.5,Betfair,9.5,Betfair,17.0,Betfair,46.0,Betfair,8.0,Betfair,7.0,Betfair,12.0,Betfair,36.0,Betfair,9.5,Betfair,8.5,Betfair,13.0,Betfair,34.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.5,0.5,0.77,0.77,,,,,,,,,25.0,7.0,10.0,2.0,5.0,2.0,10.0,3.0,,,,,,,,,,,10.0,4.0,,,,,9.0,15.0,1.0,3.0,,,2.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,0.47,0.53,10.0,5.0,4.0,0.0,1.0,2.0,,,5.0,3.0,,,3.0,5.0,1.0,0.0,0.0,4.0,,,,,,,0.53,0.47,15.0,2.0,6.0,2.0,4.0,0.0,,,5.0,1.0,1.0,3.0,,,6.0,10.0,1.0,0.0,1.0,4.0
nHpA95Pn,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,27/05/2023,07:30,Relegation Group,Sassuolo W,Como W,2,1,"[36, 63]",[90],Betano.br,2.32,2.3,3.95,Betfair,1.67,3.8,4.1,,0.0,0.0,Betano.br,2.4,1.5,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.65,2.1,Betano.br,1.24,1.23,1.95,Betfair,12.0,Betfair,13.0,Betfair,21.0,Betfair,56.0,Betfair,7.0,Betfair,6.5,Betfair,13.0,Betfair,31.0,Betfair,7.5,Betfair,7.0,Betfair,12.0,Betfair,34.0,Betfair,12.0,Betfair,11.0,Betfair,17.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.59,0.41,0.81,0.72,,,,,,,,,11.0,14.0,3.0,4.0,4.0,6.0,4.0,4.0,,,,,,,,,,,6.0,4.0,,,,,8.0,13.0,1.0,2.0,,,2.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,6.0,5.0,2.0,2.0,2.0,0.0,,,4.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,,,,,,,0.61,0.39,5.0,9.0,1.0,2.0,2.0,6.0,,,2.0,2.0,0.0,2.0,,,4.0,9.0,2.0,0.0,1.0,0.0
4he5AoAt,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,20/05/2023,07:30,Relegation Group,Como W,Pomigliano W,0,1,[],[49],Betano.br,2.75,2.1,3.6,Betfair,2.1,3.3,2.9,Betano.br,1.4,2.72,Betano.br,2.67,1.42,,0.0,0.0,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.65,2.1,Betano.br,1.32,1.28,1.65,Betfair,9.0,Betfair,9.0,Betfair,13.0,Betfair,31.0,Betfair,7.0,Betfair,5.5,Betfair,9.5,Betfair,21.0,Betfair,9.5,Betfair,7.5,Betfair,11.0,Betfair,26.0,Betfair,17.0,Betfair,15.0,Betfair,21.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.57,0.43,0.77,0.68,,,,,,,,,13.0,11.0,2.0,2.0,6.0,5.0,5.0,4.0,,,,,,,,,,,4.0,6.0,,,,,19.0,14.0,,,,,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.5,0.5,8.0,6.0,2.0,1.0,3.0,1.0,,,2.0,3.0,,,9.0,8.0,0.0,1.0,1.0,2.0,,,,,,,0.64,0.36,5.0,5.0,0.0,1.0,3.0,4.0,,,2.0,3.0,,,,,10.0,6.0,2.0,2.0,0.0,0.0
d8oTuz5k,ITALY,2022-2023,Serie A Women 2022 2023,WOM ITALY 1,13/05/2023,09:30,Championship Group,AC Milan W,AS Roma W,2,2,"[38, 57]","[67, 90]",Betano.br,4.45,2.3,2.18,Betfair,5.5,4.33,1.4,,0.0,0.0,Betano.br,2.27,1.57,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,1.5,2.4,Betano.br,2.15,1.22,1.19,Betfair,19.0,Betfair,8.5,Betfair,8.0,Betfair,10.0,Betfair,21.0,Betfair,8.5,Betfair,6.5,Betfair,8.5,Betfair,36.0,Betfair,15.0,Betfair,12.0,Betfair,13.0,Betfair,67.0,Betfair,36.0,Betfair,34.0,Betfair,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,0.4,0.6,0.75,0.81,,,,,,,,,14.0,14.0,3.0,5.0,5.0,6.0,6.0,3.0,,,,,,,,,,,8.0,1.0,,,,,10.0,5.0,2.0,1.0,,,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.45,0.55,9.0,4.0,1.0,0.0,5.0,3.0,,,4.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,,,0.35,0.65,5.0,10.0,2.0,5.0,0.0,3.0,,,4.0,1.0,2.0,0.0,,,5.0,3.0,0.0,1.0,3.0,1.0
