Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
UqfZPdrH,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,11/06/2023,13:00,Promotion,Termalica B-B.,Puszcza,2,3,"[46, 71]","[51, 61, 99]",bet365,2.6,2.1,4.75,bet365,1.83,3.2,4.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.2,1.33,1.8,bet365,8.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,6.5,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,bet365,6.8,1.1,bet365,3.55,1.27,bet365,2.67,1.45,bet365,1.93,1.93,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,17.0,9.25,1.08,Betano.br,8.0,5.4,1.28,bet365,3.5,3.75,1.8,Betano.br,1.25,5.3,9.75,Betano.br,1.06,9.75,22.0,,0.0,0.0,0.0,,,,,,,,,,,0.63,0.37,,,,,,,,,,,24.0,19.0,5.0,11.0,4.0,7.0,15.0,1.0,,,,,,,,,,,10.0,6.0,18.0,18.0,,,16.0,17.0,5.0,4.0,,,2.0,1.0,8.0,3.0,,,,,,,,,,,,,,,,,,,0.7,0.3,6.0,5.0,2.0,2.0,0.0,2.0,,,4.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,2.0,2.0,,,,,,,0.54,0.46,8.0,6.0,3.0,4.0,0.0,2.0,,,4.0,6.0,1.0,1.0,,,4.0,6.0,2.0,0.0,2.0,1.0
pb1Nw8BB,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,06/06/2023,16:00,Promotion,Termalica B-B.,S. Rzeszow,2,0,"[19, 54]",[],bet365,2.25,2.38,5.0,bet365,1.65,3.75,4.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.73,2.0,bet365,1.18,1.25,2.2,bet365,13.0,bet365,15.0,bet365,26.0,bet365,51.0,bet365,8.0,bet365,7.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,23.0,bet365,41.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.75,1.43,bet365,2.15,1.68,bet365,1.68,2.15,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,11.75,7.7,1.14,Betano.br,5.7,4.85,1.42,bet365,2.75,3.75,2.2,Betano.br,1.22,5.9,10.25,Betano.br,1.06,10.25,22.0,,0.0,0.0,0.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,6.0,13.0,3.0,2.0,2.0,7.0,1.0,4.0,,,,,,,,,,,2.0,14.0,24.0,22.0,,,15.0,19.0,2.0,0.0,,,7.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.4,0.6,3.0,8.0,2.0,1.0,1.0,4.0,,,0.0,7.0,2.0,0.0,7.0,11.0,3.0,2.0,1.0,1.0,,,,,,,0.44,0.56,3.0,5.0,1.0,1.0,1.0,3.0,,,2.0,7.0,,,,,8.0,8.0,4.0,2.0,1.0,0.0
zFbriE1L,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,Chojniczanka,GKS Katowice,3,3,"[22, 29, 90]","[11, 60, 73]",bet365,3.0,2.1,3.5,bet365,2.38,3.25,2.7,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.73,2.0,bet365,1.4,1.3,1.5,bet365,10.0,bet365,9.5,bet365,15.0,bet365,29.0,bet365,8.0,bet365,6.5,bet365,11.0,bet365,23.0,bet365,11.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.7,1.26,bet365,2.35,1.57,bet365,1.43,2.75,bet365,1.17,5.0,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.0,1.05,Betano.br,11.0,6.6,1.18,bet365,4.5,4.0,1.53,Betano.br,1.44,4.4,6.1,Betano.br,1.13,7.5,14.0,,0.0,0.0,0.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,5.0,14.0,5.0,7.0,0.0,5.0,0.0,2.0,,,,,,,,,,,4.0,8.0,11.0,8.0,,,10.0,12.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,0.41,0.59,3.0,4.0,3.0,1.0,0.0,2.0,,,1.0,4.0,1.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,,,,,,,0.43,0.57,2.0,10.0,2.0,6.0,0.0,3.0,,,3.0,4.0,2.0,3.0,0.0,1.0,5.0,4.0,0.0,1.0,4.0,1.0
Ol0RxSQH,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,06/06/2023,13:00,Promotion,Wisla,Puszcza,1,4,[84],"[33, 45, 90, 90]",bet365,2.25,2.2,5.5,bet365,1.65,3.4,5.25,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.5,bet365,2.0,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.17,1.3,2.2,bet365,9.5,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.75,1.43,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.0,7.7,1.14,Betano.br,5.7,4.75,1.42,bet365,2.88,3.6,2.2,Betano.br,1.18,6.1,12.5,Betano.br,1.04,10.75,27.0,,0.0,0.0,0.0,,,,,,,,,,,0.68,0.32,,,,,,,,,,,22.0,14.0,2.0,8.0,12.0,3.0,8.0,3.0,,,,,,,,,,,14.0,5.0,16.0,7.0,,,6.0,16.0,2.0,3.0,,,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,0.65,0.35,6.0,12.0,0.0,6.0,4.0,3.0,,,2.0,5.0,1.0,2.0,3.0,10.0,0.0,0.0,4.0,0.0,,,,,,,0.71,0.29,16.0,2.0,2.0,2.0,8.0,0.0,,,12.0,0.0,1.0,1.0,,,3.0,6.0,1.0,0.0,0.0,1.0
faJqWCPe,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,Leczna,Wisla,0,3,[],"[14, 30, 86]",bet365,5.0,2.38,2.2,bet365,4.5,3.8,1.62,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.67,2.1,bet365,2.1,1.22,1.17,bet365,15.0,bet365,8.5,bet365,8.5,bet365,13.0,bet365,15.0,bet365,8.0,bet365,8.5,bet365,13.0,bet365,26.0,bet365,15.0,bet365,15.0,bet365,23.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,2.25,1.63,bet365,1.73,2.08,bet365,1.45,2.67,bet365,1.21,4.25,bet365,1.16,5.25,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,11.0,6.3,1.19,bet365,2.1,3.75,2.63,Betano.br,1.5,4.65,4.85,Betano.br,1.18,7.1,9.75,,,,,,,,,,,0.47,0.53,,,,,,,,,,,10.0,17.0,0.0,6.0,7.0,6.0,3.0,5.0,,,,,,,,,,,10.0,2.0,11.0,18.0,,,15.0,8.0,2.0,2.0,,,2.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.45,0.55,4.0,8.0,0.0,4.0,3.0,2.0,,,5.0,1.0,0.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,,,,,,,0.49,0.51,6.0,9.0,0.0,2.0,4.0,4.0,,,5.0,1.0,2.0,1.0,,,9.0,4.0,1.0,2.0,1.0,0.0
0d6VgGH2,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,Podbeskidzie,R. Rzeszow,4,3,"[29, 49, 52, 74]","[9, 18, 25]",bet365,1.83,2.75,6.0,bet365,1.36,4.75,6.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.14,5.5,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.62,2.2,bet365,1.11,1.17,2.75,bet365,21.0,bet365,23.0,bet365,41.0,bet365,67.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.45,1.3,bet365,2.85,1.4,bet365,2.08,1.73,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.1,5.7,1.33,Betano.br,3.25,4.25,1.82,bet365,2.0,4.0,2.75,Betano.br,1.12,7.8,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.64,0.36,,,,,,,,,,,20.0,12.0,8.0,5.0,4.0,4.0,8.0,3.0,,,,,,,,,,,5.0,5.0,18.0,12.0,,,13.0,16.0,3.0,7.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.65,0.35,11.0,7.0,4.0,5.0,3.0,2.0,,,3.0,2.0,2.0,2.0,7.0,7.0,0.0,1.0,2.0,3.0,,,,,,,0.63,0.37,9.0,5.0,4.0,0.0,1.0,2.0,,,2.0,3.0,1.0,5.0,0.0,1.0,6.0,9.0,1.0,0.0,0.0,1.0
MBfvhfnF,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,LKS Lodz,Odra Opole,1,0,[23],[],bet365,2.0,2.4,6.0,bet365,1.44,4.0,6.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.83,1.83,bet365,1.1,1.2,2.5,bet365,12.0,bet365,17.0,bet365,34.0,bet365,67.0,bet365,7.5,bet365,8.0,bet365,19.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,4.1,1.23,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.8,2.05,bet365,1.48,2.6,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.25,6.4,1.23,Betano.br,4.15,4.35,1.62,bet365,2.3,3.75,2.5,Betano.br,1.13,7.1,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.57,0.43,,,,,,,,,,,13.0,18.0,5.0,4.0,6.0,11.0,2.0,3.0,,,,,,,,,,,7.0,3.0,18.0,14.0,,,14.0,18.0,3.0,2.0,,,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,0.6,0.4,7.0,9.0,3.0,3.0,3.0,4.0,,,3.0,2.0,2.0,0.0,7.0,8.0,0.0,0.0,3.0,2.0,,,,,,,0.54,0.46,6.0,9.0,2.0,1.0,3.0,7.0,,,4.0,1.0,1.0,2.0,,,7.0,10.0,0.0,0.0,1.0,2.0
lMvJpCvk,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,Puszcza,Chrobry Glogow,0,1,[],[89],bet365,1.91,2.5,6.5,bet365,1.4,4.5,6.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.8,1.91,bet365,1.11,1.18,2.75,bet365,15.0,bet365,19.0,bet365,34.0,bet365,67.0,bet365,8.5,bet365,9.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,8.5,bet365,17.0,bet365,41.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,51.0,bet365,3.55,1.27,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.12,6.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.0,5.9,1.28,Betano.br,3.6,4.2,1.75,bet365,2.1,4.0,2.75,Betano.br,1.11,7.7,16.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,25.0,9.0,4.0,3.0,8.0,2.0,13.0,4.0,,,,,,,,,,,6.0,4.0,16.0,19.0,,,11.0,15.0,1.0,5.0,,,8.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,0.55,0.45,10.0,3.0,2.0,1.0,6.0,1.0,,,0.0,2.0,1.0,2.0,7.0,9.0,4.0,0.0,1.0,2.0,,,,,,,0.61,0.39,15.0,6.0,2.0,2.0,2.0,1.0,,,6.0,2.0,0.0,3.0,,,4.0,6.0,4.0,1.0,1.0,2.0
UybnjYGR,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,Ruch Chorzow,Tychy,1,0,[63],[],bet365,1.83,2.4,9.0,bet365,1.33,4.75,8.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.88,1.98,bet365,3.25,1.33,bet365,6.5,1.11,bet365,2.38,1.53,bet365,1.08,1.18,3.25,bet365,10.0,bet365,17.0,bet365,41.0,bet365,101.0,bet365,6.0,bet365,9.5,bet365,26.0,bet365,67.0,bet365,5.5,bet365,9.5,bet365,26.0,bet365,67.0,bet365,8.0,bet365,13.0,bet365,34.0,bet365,81.0,bet365,3.45,1.3,bet365,2.75,1.43,bet365,1.98,1.88,bet365,1.52,2.42,bet365,1.35,3.1,bet365,1.11,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.3,5.5,1.33,Betano.br,3.3,4.0,1.87,bet365,1.95,3.75,3.25,Betano.br,1.09,8.5,20.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,10.0,11.0,3.0,3.0,4.0,5.0,3.0,3.0,,,,,,,,,,,10.0,8.0,11.0,22.0,,,20.0,11.0,8.0,3.0,,,2.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.51,0.49,3.0,3.0,1.0,1.0,1.0,2.0,,,6.0,3.0,2.0,1.0,7.0,7.0,0.0,0.0,1.0,1.0,,,,,,,0.43,0.57,7.0,8.0,2.0,2.0,3.0,3.0,,,4.0,5.0,6.0,2.0,,,13.0,4.0,2.0,0.0,2.0,1.0
WppEohPr,POLAND,2022-2023,Division 1 2022 2023,POLAND 2,03/06/2023,12:30,Round 34,S. Rzeszow,Skra,2,1,"[64, 90]",[4],bet365,1.8,2.5,8.5,bet365,1.29,4.5,9.0,Betano.br,1.34,3.0,Betano.br,2.5,1.47,Betano.br,5.3,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,bet365,1.7,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,bet365,2.1,1.67,bet365,1.06,1.17,3.4,bet365,12.0,bet365,21.0,bet365,41.0,bet365,126.0,bet365,7.0,bet365,9.5,bet365,26.0,bet365,67.0,bet365,6.5,bet365,9.0,bet365,21.0,bet365,67.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,1.95,1.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,6.2,5.5,1.34,Betano.br,3.2,4.0,1.88,Betano.br,1.88,3.75,3.4,Betano.br,1.08,8.5,21.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,18.0,13.0,7.0,5.0,3.0,4.0,8.0,4.0,,,,,,,,,,,11.0,2.0,18.0,21.0,,,16.0,17.0,0.0,2.0,,,5.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,0.6,0.4,10.0,7.0,3.0,2.0,0.0,2.0,,,6.0,1.0,0.0,1.0,8.0,7.0,2.0,0.0,1.0,3.0,,,,,,,0.56,0.44,8.0,6.0,4.0,3.0,3.0,2.0,,,5.0,1.0,0.0,1.0,,,8.0,10.0,3.0,1.0,3.0,2.0
