Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
xGrtTfEI,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,Breidablik,Kopavogur,3,0,"[51, 85, 89]",[],Betfair,1.67,2.7,7.0,Betfair,1.25,5.5,8.0,Betano.br,1.25,3.6,Betano.br,2.05,1.7,Betano.br,4.1,1.2,Betfair,1.01,13.0,Betfair,1.11,6.0,Betfair,1.36,2.88,Betfair,2.15,1.67,Betfair,3.5,1.25,Betfair,1.73,2.05,Betfair,1.05,1.1,3.4,Betfair,18.0,Betfair,26.0,Betfair,46.0,Betfair,126.0,Betfair,7.5,Betfair,9.0,Betfair,21.0,Betfair,56.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,46.0,Betfair,7.5,Betfair,7.5,Betfair,14.0,Betfair,46.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,5.3,5.4,1.39,Betano.br,2.95,4.2,1.95,Betano.br,1.83,4.0,3.4,Betano.br,1.09,8.75,17.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,10.0,9.0,8.0,4.0,2.0,5.0,,,,,,,,,,,,,8.0,1.0,10.0,15.0,23.0,26.0,,,1.0,1.0,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,0.6,0.4,3.0,5.0,2.0,2.0,1.0,3.0,,,3.0,1.0,1.0,0.0,,,,,2.0,2.0,,,,,,,0.52,0.48,7.0,4.0,6.0,2.0,1.0,2.0,,,5.0,0.0,0.0,1.0,,,,,,,2.0,3.0
KvlyUzaC,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,Fylkir,Valur,0,6,[],"[34, 54, 66, 72, 80, 84]",Betfair,3.75,2.5,2.25,Betfair,3.8,4.0,1.73,Betano.br,1.24,3.7,Betano.br,2.02,1.72,Betano.br,3.95,1.21,Betfair,1.01,17.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.36,2.88,Betfair,1.91,1.2,1.22,Betfair,17.0,Betfair,10.0,Betfair,10.0,Betfair,13.0,Betfair,15.0,Betfair,7.0,Betfair,6.5,Betfair,10.0,Betfair,21.0,Betfair,10.0,Betfair,8.5,Betfair,12.0,Betfair,36.0,Betfair,20.0,Betfair,19.0,Betfair,23.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,15.5,9.25,1.09,Betano.br,7.6,5.7,1.28,Betano.br,2.05,4.05,2.85,Betano.br,1.42,5.2,5.2,Betano.br,1.16,7.7,10.25,,,,,,,,,,,0.45,0.55,,,,,,,,,,,9.0,20.0,4.0,13.0,5.0,7.0,,,,,,,,,,,,,1.0,10.0,14.0,10.0,18.0,27.0,,,2.0,2.0,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,9.0,1.0,6.0,2.0,3.0,,,1.0,3.0,0.0,1.0,,,,,5.0,1.0,,,,,,,0.44,0.56,6.0,11.0,3.0,7.0,3.0,4.0,,,0.0,7.0,2.0,1.0,,,,,,,2.0,3.0
Eu69BSro,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,KA Akureyri,Hafnarfjordur,2,2,"[52, 90]","[28, 54]",Betfair,2.2,2.3,4.5,Betfair,1.67,3.9,4.2,Betano.br,1.29,3.25,Betano.br,2.25,1.57,Betano.br,4.6,1.16,Betfair,1.01,15.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.45,1.53,Betfair,4.33,1.17,Betfair,1.5,2.4,Betfair,1.17,1.2,2.0,Betfair,12.0,Betfair,14.0,Betfair,21.0,Betfair,51.0,Betfair,7.5,Betfair,6.5,Betfair,11.0,Betfair,23.0,Betfair,8.0,Betfair,6.5,Betfair,10.0,Betfair,26.0,Betfair,11.0,Betfair,10.0,Betfair,14.0,Betfair,34.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,10.75,7.6,1.16,Betano.br,5.4,5.0,1.42,Betano.br,2.82,3.85,2.1,Betano.br,1.24,5.8,9.0,Betano.br,1.07,9.75,18.5,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,11.0,13.0,4.0,5.0,7.0,8.0,,,,,,,,,,,,,4.0,8.0,19.0,12.0,24.0,19.0,,,3.0,3.0,1.0,0.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.49,0.51,6.0,6.0,1.0,2.0,5.0,4.0,,,1.0,5.0,1.0,1.0,,,,,1.0,1.0,,,,,,,0.53,0.47,5.0,7.0,3.0,3.0,2.0,4.0,,,3.0,3.0,2.0,2.0,1.0,0.0,,,,,2.0,1.0
tlkXUGq6,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,Keflavik,Akranes,2,3,"[45, 64]","[68, 71, 75]",Betfair,2.88,2.38,2.88,Betfair,2.5,3.5,2.4,Betano.br,1.26,3.45,Betano.br,2.12,1.65,Betano.br,4.25,1.18,Betfair,1.01,17.0,Betfair,1.13,6.0,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.36,3.0,Betfair,1.5,1.22,1.44,Betfair,15.0,Betfair,11.0,Betfair,13.0,Betfair,21.0,Betfair,11.0,Betfair,6.0,Betfair,8.0,Betfair,13.0,Betfair,13.0,Betfair,8.0,Betfair,8.0,Betfair,14.0,Betfair,23.0,Betfair,14.0,Betfair,15.0,Betfair,23.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,18.0,10.5,1.07,Betano.br,9.75,6.9,1.19,Betano.br,4.75,4.6,1.52,Betano.br,1.57,4.45,4.35,Betano.br,1.21,6.5,8.75,Betano.br,1.07,10.25,17.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,9.0,8.0,6.0,6.0,3.0,2.0,,,,,,,,,,,,,5.0,17.0,18.0,2.0,30.0,28.0,,,2.0,3.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,0.47,0.53,5.0,3.0,3.0,2.0,2.0,1.0,,,3.0,8.0,0.0,1.0,,,,,2.0,2.0,,,,,,,0.57,0.43,4.0,5.0,3.0,4.0,1.0,1.0,,,2.0,9.0,2.0,2.0,,,,,,,1.0,2.0
nRkTVdUa,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,Stjarnan,KR Reykjavik,0,2,[],"[54, 73]",Betfair,5.0,2.5,1.91,Betfair,5.5,4.5,1.4,Betano.br,1.27,3.45,Betano.br,2.15,1.62,Betano.br,4.35,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.5,2.4,Betfair,2.5,1.14,1.1,Betfair,15.0,Betfair,8.0,Betfair,7.5,Betfair,10.0,Betfair,18.0,Betfair,7.5,Betfair,6.0,Betfair,8.5,Betfair,26.0,Betfair,13.0,Betfair,10.0,Betfair,13.0,Betfair,67.0,Betfair,31.0,Betfair,31.0,Betfair,34.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.0,7.0,1.16,Betano.br,2.57,3.85,2.25,Betano.br,1.62,4.5,3.95,Betano.br,1.25,6.4,7.6,,,,,,,,,,,0.48,0.52,,,,,,,,,,,6.0,6.0,4.0,5.0,2.0,1.0,,,,,,,,,,,,,1.0,8.0,12.0,11.0,24.0,16.0,,,1.0,2.0,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,0.4,0.6,4.0,3.0,3.0,3.0,1.0,0.0,,,1.0,8.0,0.0,2.0,,,,,3.0,3.0,,,,,,,0.57,0.43,2.0,3.0,1.0,2.0,1.0,1.0,,,0.0,0.0,1.0,0.0,,,,,,,0.0,1.0
SrfizCLo,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,25/09/2021,11:00,Round 22,Vikingur Reykjavik,Leiknir,2,0,"[30, 36]",[],Betfair,1.53,2.8,9.0,Betfair,1.14,6.5,12.0,Betano.br,1.27,3.4,Betano.br,2.15,1.62,Betano.br,4.35,1.17,Betfair,1.01,12.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,2.0,1.73,Betfair,1.03,1.07,4.5,Betfair,17.0,Betfair,31.0,Betfair,81.0,Betfair,201.0,Betfair,6.5,Betfair,10.0,Betfair,31.0,Betfair,91.0,Betfair,5.5,Betfair,7.0,Betfair,20.0,Betfair,101.0,Betfair,6.0,Betfair,8.0,Betfair,19.0,Betfair,81.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,4.5,4.9,1.5,Betano.br,2.55,4.0,2.25,Betano.br,1.62,4.1,4.3,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,4.0,0.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,4.0,0.0,17.0,6.0,29.0,25.0,,,1.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.56,0.44,3.0,0.0,2.0,0.0,1.0,0.0,,,2.0,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0,,,,,,,0.0,1.0
zinPWxFg,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,20/09/2021,16:15,Round 21,Kopavogur,Stjarnan,1,0,[79],[],Betfair,2.4,2.3,3.75,Betfair,1.87,3.5,3.5,Betano.br,1.33,3.05,Betano.br,2.37,1.52,Betano.br,4.9,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.4,Betfair,1.22,1.25,1.8,Betfair,12.0,Betfair,11.0,Betfair,17.0,Betfair,36.0,Betfair,8.0,Betfair,6.0,Betfair,10.0,Betfair,21.0,Betfair,9.0,Betfair,6.5,Betfair,9.5,Betfair,23.0,Betfair,14.0,Betfair,11.0,Betfair,15.0,Betfair,31.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,11.75,8.0,1.14,Betano.br,5.8,5.1,1.38,Betano.br,3.0,3.75,2.05,Betano.br,1.24,5.7,9.25,Betano.br,1.07,9.75,20.0,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,11.0,3.0,5.0,0.0,6.0,3.0,,,,,,,,,,,,,1.0,6.0,17.0,12.0,21.0,24.0,,,4.0,2.0,1.0,0.0,,,0.0,4.0,,,,,,,,,,,,,,,,,,,0.44,0.56,7.0,2.0,3.0,0.0,4.0,2.0,,,1.0,3.0,,,,,,,0.0,3.0,,,,,,,0.42,0.58,4.0,1.0,2.0,0.0,2.0,1.0,,,0.0,3.0,4.0,2.0,1.0,0.0,,,,,0.0,1.0
hSdKXIam,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,19/09/2021,15:30,Round 21,Valur,KA Akureyri,1,4,[6],"[25, 63, 76, 80]",Betfair,2.3,2.4,3.75,Betfair,1.8,3.9,3.4,Betano.br,1.27,3.45,Betano.br,2.12,1.65,Betano.br,4.3,1.18,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.4,2.75,Betfair,2.15,1.67,Betfair,3.6,1.25,Betfair,1.36,2.88,Betfair,1.25,1.2,1.83,Betfair,15.0,Betfair,14.0,Betfair,20.0,Betfair,36.0,Betfair,9.5,Betfair,6.5,Betfair,10.0,Betfair,19.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,18.0,Betfair,15.0,Betfair,10.0,Betfair,12.0,Betfair,23.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,12.5,8.5,1.12,Betano.br,6.2,5.4,1.34,Betano.br,3.2,4.0,1.88,Betano.br,1.31,5.3,7.0,Betano.br,1.1,8.75,14.5,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,15.0,16.0,9.0,8.0,6.0,8.0,,,,,,,,,,,,,6.0,4.0,13.0,26.0,15.0,18.0,,,4.0,1.0,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,0.52,0.48,8.0,8.0,5.0,3.0,3.0,5.0,,,3.0,2.0,2.0,0.0,,,,,2.0,4.0,,,,,,,0.5,0.5,7.0,8.0,4.0,5.0,3.0,3.0,,,3.0,2.0,2.0,1.0,,,,,,,2.0,4.0
Mq6lwuxQ,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,19/09/2021,13:15,Round 21,Hafnarfjordur,Breidablik,1,0,[38],[],Betfair,4.33,2.4,2.1,Betfair,4.2,4.0,1.6,Betano.br,1.27,3.4,Betano.br,2.15,1.62,Betano.br,4.4,1.17,Betfair,1.01,17.0,Betfair,1.14,5.0,Betfair,1.45,2.55,Betfair,2.2,1.6,Betfair,3.75,1.22,Betfair,1.44,2.63,Betfair,2.1,1.17,1.17,Betfair,15.0,Betfair,8.5,Betfair,8.5,Betfair,12.0,Betfair,14.0,Betfair,7.0,Betfair,6.5,Betfair,9.5,Betfair,21.0,Betfair,11.0,Betfair,9.5,Betfair,13.0,Betfair,46.0,Betfair,23.0,Betfair,23.0,Betfair,26.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,19.5,10.0,1.06,Betano.br,9.5,6.1,1.22,Betano.br,2.2,3.85,2.67,Betano.br,1.47,4.9,4.9,Betano.br,1.17,7.3,9.75,,,,,,,,,,,0.42,0.58,,,,,,,,,,,3.0,8.0,1.0,5.0,2.0,3.0,,,,,,,,,,,,,4.0,4.0,12.0,19.0,17.0,24.0,,,4.0,1.0,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,0.47,0.53,1.0,1.0,1.0,1.0,0.0,0.0,,,2.0,2.0,1.0,1.0,,,,,1.0,0.0,,,,,,,0.37,0.63,2.0,7.0,0.0,4.0,2.0,3.0,,,2.0,2.0,3.0,0.0,,,,,,,4.0,0.0
EybGYbps,ICELAND,2021,Besta Deild Karla 2021,ICELAND 1,19/09/2021,13:15,Round 21,KR Reykjavik,Vikingur Reykjavik,1,2,[9],"[16, 87]",Betfair,3.0,2.2,3.1,Betfair,2.5,3.4,2.63,Betano.br,1.36,2.92,Betano.br,2.52,1.47,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.22,4.2,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.57,2.3,Betfair,1.4,1.25,1.44,Betfair,10.0,Betfair,9.0,Betfair,12.0,Betfair,23.0,Betfair,8.5,Betfair,5.5,Betfair,8.0,Betfair,15.0,Betfair,11.0,Betfair,8.0,Betfair,9.0,Betfair,19.0,Betfair,20.0,Betfair,14.0,Betfair,18.0,Betfair,31.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,21.0,10.75,1.05,Betano.br,10.5,6.6,1.19,Betano.br,4.8,4.25,1.55,Betano.br,1.47,4.4,5.4,Betano.br,1.16,7.1,11.75,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,6.0,9.0,4.0,6.0,2.0,3.0,,,,,,,,,,,,,3.0,5.0,17.0,10.0,15.0,21.0,,,5.0,3.0,1.0,1.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,0.45,0.55,3.0,4.0,2.0,3.0,1.0,1.0,,,2.0,3.0,3.0,0.0,,,,,2.0,1.0,,,,,,,0.53,0.47,3.0,5.0,2.0,3.0,1.0,2.0,,,1.0,2.0,2.0,3.0,1.0,1.0,,,,,2.0,2.0
